id,title,company,location,country,city,category,category_tag,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,created,posting_year,posting_month,description,redirect_url,skill_extraction_text,extracted_skills,skill_count
5838381458,Lead Data Analyst,Wise,"London, UK",UK,London,Accounting & Finance Jobs,accounting-finance-jobs,contract,full_time,71829.23,71829.23,1,2026-08-12 15:38:55+00:00,2026,2026-08,"Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description We are looking for a Lead Dat…",https://www.adzuna.co.uk/jobs/land/ad/5838381458?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=16724A4F9650B061C6F788C6F84950F31715427D,"Lead Data Analyst. Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description We are looking for a Lead Dat…",[],0
5879749780,Data Analyst,Anson Mccade,"London, UK",UK,London,IT Jobs,it-jobs,permanent,full_time,49156.57,49156.57,1,2026-09-11 13:56:37+00:00,2026,2026-09,"£45,000 - 60,000 GBP Pension, Benefits Hybrid WORKING Location: Central London, Greater London - United Kingdom Type: Permanent Data Analyst (Reporting & Visualisation) Data & Digital Transformation Location: London / Hybrid Working Salary: Up to £60,000  Benefits Package About the Role We're supporting a leading transformation consultancy looking to expand its Data & Technology practice with the addition of a Data Analyst specialising in Reporting & Visualisation. This is an excellent opportun…",https://www.adzuna.co.uk/jobs/land/ad/5879749780?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=43301B099E0F451F35AED2B2A33DF515F8308F72,"Data Analyst. £45,000 - 60,000 GBP Pension, Benefits Hybrid WORKING Location: Central London, Greater London - United Kingdom Type: Permanent Data Analyst (Reporting & Visualisation) Data & Digital Transformation Location: London / Hybrid Working Salary: Up to £60,000  Benefits Package About the Role We're supporting a leading transformation consultancy looking to expand its Data & Technology practice with the addition of a Data Analyst specialising in Reporting & Visualisation. This is an excellent opportun…",[],0
5861182353,Risk Technology Data Analyst,BGC Partners,"London, UK",UK,London,IT Jobs,it-jobs,unknown,full_time,46263.4,46263.4,1,2026-08-29 15:29:41+00:00,2026,2026-08,"The Risk Technology Data Analyst will be a key member of the Risk Management Technology team, contributing to the development and enhancement of risk systems. This role offers an opportunity to work with a dynamic team, utilizing cutting-edge technologies to manage and mitigate risks across the enterprise. Responsibilities Collaborate with Risk Management to gather and analyze requirements for risk systems. Build and enhance data analysis processes, including asset valuations and custom measure…",https://www.adzuna.co.uk/jobs/land/ad/5861182353?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=9B7D2E1142A3B2B572CCAA707DBE965F707754DC,"Risk Technology Data Analyst. The Risk Technology Data Analyst will be a key member of the Risk Management Technology team, contributing to the development and enhancement of risk systems. This role offers an opportunity to work with a dynamic team, utilizing cutting-edge technologies to manage and mitigate risks across the enterprise. Responsibilities Collaborate with Risk Management to gather and analyze requirements for risk systems. Build and enhance data analysis processes, including asset valuations and custom measure…",['data analysis'],1
5838383439,"Staff Data Analyst, Operations",Wise,"London, UK",UK,London,IT Jobs,it-jobs,contract,full_time,88466.81,88466.81,1,2026-08-12 15:39:11+00:00,2026,2026-08,"Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description At Wise, our Staff Analyst is…",https://www.adzuna.co.uk/jobs/land/ad/5838383439?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=D6B8AFFFD1A039CBFADDF1DB5DAC87CD80F8A8F6,"Staff Data Analyst, Operations. Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description At Wise, our Staff Analyst is…",[],0
5859492510,Data Analyst (AI Training),OneForma,"Furzedown, South West London",UK,Furzedown,Part time Jobs,part-time-jobs,permanent,part_time,22880.0,22880.0,0,2026-08-28 09:16:41+00:00,2026,2026-08,"We're looking for English speakers located anywhere in United Kingdom ! About the Role Join OneForma and help improve real-world map and geo-localization applications. As a Data Analyst for AI Training , you’ll evaluate real user search queries to enhance search accuracy, relevance, and overall navigation experience. Purpose: Tasks may include reviewing queries like “pharmacy near me” or “railway station” and checking if the results match user intent. This is a straightforward task with no tech…",https://www.adzuna.co.uk/jobs/land/ad/5859492510?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=3BA1DA314E8ACAAAC83DBD01B04E2A78C30BD2C1,"Data Analyst (AI Training). We're looking for English speakers located anywhere in United Kingdom ! About the Role Join OneForma and help improve real-world map and geo-localization applications. As a Data Analyst for AI Training , you’ll evaluate real user search queries to enhance search accuracy, relevance, and overall navigation experience. Purpose: Tasks may include reviewing queries like “pharmacy near me” or “railway station” and checking if the results match user intent. This is a straightforward task with no tech…",[],0
5877162977,Market Data Analyst AVP,Hunter Bond,"London, UK",UK,London,IT Jobs,it-jobs,unknown,full_time,72841.98,72841.98,1,2026-09-09 15:28:03+00:00,2026,2026-09,"Market Data Analyst AVP | London | £70-85k Ready to take ownership of a global Market Data function rather than just maintain it? We're working with a leading financial services firm looking for a Market Data Analyst AVP to lead licensing, vendor management, audits, reporting and governance activities across a global environment. You'll also manage and develop an Associate while working closely with stakeholders across the business. This is a fantastic opportunity for someone who understands ma…",https://www.adzuna.co.uk/jobs/land/ad/5877162977?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=8960042571D06FF9DE5D551E2AD7412EE234CA88,"Market Data Analyst AVP. Market Data Analyst AVP | London | £70-85k Ready to take ownership of a global Market Data function rather than just maintain it? We're working with a leading financial services firm looking for a Market Data Analyst AVP to lead licensing, vendor management, audits, reporting and governance activities across a global environment. You'll also manage and develop an Associate while working closely with stakeholders across the business. This is a fantastic opportunity for someone who understands ma…",[],0
5848186934,Senior Product Data Analyst - Consumer Growth,SumUp,"London, UK",UK,London,"PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,unknown,full_time,47855.71,47855.71,1,2026-08-19 14:54:26+00:00,2026,2026-08,"SumUp is best known for helping small businesses get paid — our Consumer tribe builds the other half of that story. We make SumUp Consumer, the wallet app that lets everyday consumers pay SumUp merchants with a tap, send money to friends, track their spending and earn loyalty rewards along the way. As we grow SumUp Consumer across new markets and features, we need sharp, reliable insight into how people discover, adopt and use the product — and how that behaviour translates into sustainable com…",https://www.adzuna.co.uk/jobs/land/ad/5848186934?se=0Llv1HWv8RGeX5IuMnKGeQ&utm_medium=api&utm_source=5ec7ac9c&v=3F9410C0E32F51C5596AB457D612C89F8753D21E,"Senior Product Data Analyst - Consumer Growth. SumUp is best known for helping small businesses get paid — our Consumer tribe builds the other half of that story. We make SumUp Consumer, the wallet app that lets everyday consumers pay SumUp merchants with a tap, send money to friends, track their spending and earn loyalty rewards along the way. As we grow SumUp Consumer across new markets and features, we need sharp, reliable insight into how people discover, adopt and use the product — and how that behaviour translates into sustainable com…",[],0
5854573891,Data Analyst,Robert Half,"London, UK",UK,London,IT Jobs,it-jobs,contract,full_time,52152.68,52152.68,1,2026-08-24 21:10:47+00:00,2026,2026-08,"Robert Half Technology are assisting a specialist growth intelligence firm that sits at the intersection of data, pricing, product strategy, AI and B2B technology to recruit a Data Analyst. London based - Hybrid working Role The Data Analyst will build and deliver high-quality, client-specific analysis Own client data requests and identify ways to maximise value from incomplete or unstructured datasets Deliver ad-hoc analysis, data enhancements, enrichment, scraping, and advanced matching Contr…",https://www.adzuna.co.uk/jobs/details/5854573891?utm_medium=api&utm_source=5ec7ac9c,"Data Analyst. Robert Half Technology are assisting a specialist growth intelligence firm that sits at the intersection of data, pricing, product strategy, AI and B2B technology to recruit a Data Analyst. London based - Hybrid working Role The Data Analyst will build and deliver high-quality, client-specific analysis Own client data requests and identify ways to maximise value from incomplete or unstructured datasets Deliver ad-hoc analysis, data enhancements, enrichment, scraping, and advanced matching Contr…",[],0
5871261504,Data Analysts,BDO Recruitment,"London, UK",UK,London,IT Jobs,it-jobs,contract,full_time,49846.42,49846.42,1,2026-09-05 02:32:05+00:00,2026,2026-09,"Data Analysts – London – Hybrid Job description We are recruiting for a Data Analysts to join our client, a regulated firm. This is a contract opportunity, offering an excellent day rate, employed via an Umbrella company. About the role: A specialist data analytics team to deliver data analysis, dashboard development, supervisory intelligence, risk analytics, reporting and stakeholder engagement in support of a pilot funds data programme, with the objective of improving regulatory supervision t…",https://www.adzuna.co.uk/jobs/details/5871261504?utm_medium=api&utm_source=5ec7ac9c,"Data Analysts. Data Analysts – London – Hybrid Job description We are recruiting for a Data Analysts to join our client, a regulated firm. This is a contract opportunity, offering an excellent day rate, employed via an Umbrella company. About the role: A specialist data analytics team to deliver data analysis, dashboard development, supervisory intelligence, risk analytics, reporting and stakeholder engagement in support of a pilot funds data programme, with the objective of improving regulatory supervision t…","['data analysis', 'data analytics']",2
5737508609,Data Analyst,Solirius Reply,"London, UK",UK,London,IT Jobs,it-jobs,unknown,full_time,40000.0,85000.0,0,2026-05-22 11:06:12+00:00,2026,2026-05,"About Us: Solirius Reply , part of the Reply Group , is a technology consultancy and digital transformation partner that helps organisations solve complex challenges through strategy, design, engineering, and delivery. We work closely with our clients to deliver secure, accessible, user-focused services that evolve with their needs. By combining deep technical expertise with people-centred design, we create solutions that deliver meaningful, lasting impact. Our consultants partner directly with…",https://www.adzuna.co.uk/jobs/details/5737508609?utm_medium=api&utm_source=5ec7ac9c,"Data Analyst. About Us: Solirius Reply , part of the Reply Group , is a technology consultancy and digital transformation partner that helps organisations solve complex challenges through strategy, design, engineering, and delivery. We work closely with our clients to deliver secure, accessible, user-focused services that evolve with their needs. By combining deep technical expertise with people-centred design, we create solutions that deliver meaningful, lasting impact. Our consultants partner directly with…",[],0
